yahoo_rank,name,team,position,percent_drafted,preseason_adp,adp
335,Phil Mafah,DAL,RB,,,
336,Marvin Mims Jr.,DEN,WR,,,
337,Isaiah Bond,CLE,WR,,,
338,Colbie Young,CIN,WR,,,
339,Brandon Aiyuk,SF,WR,,,
340,Kendrick Bourne,ARI,WR,,,
341,CJ Daniels,LAR,WR,,,
342,Kyle Williams,NE,WR,,,
343,Savion Williams,GB,WR,,,
344,Zavion Thomas,CHI,WR,,,
345,Jake Elliott,PHI,K,5,128.3,128.9
346,Mack Hollins,NE,WR,,,
347,Roman Wilson,PIT,WR,,,
348,Hollywood Brown,PHI,WR,,,
349,Brashard Smith,KC,RB,,,
350,Tyler Goodson,ATL,RB,,,
351,Audric Estime,NO,RB,,,
353,Tyreek Hill,MIA,WR,3,129.9,130.3
354,Zach Ertz,WAS,TE,,,
355,Spencer Shrader,IND,K,,,
356,Kareem Hunt,KC,RB,,,
357,Justin Fields,KC,QB,,,
358,Zane Gonzalez,MIA,K,,,
359,Ricky Pearsall,SF,WR,33,114.8,114.8
360,Tyler Higbee,LAR,TE,,,
361,Jake Moody,WAS,K,,,
362,Jonnu Smith,GB,TE,,,
363,Dawson Knox,BUF,TE,,,
365,Jayden Higgins,HOU,WR,12,132.9,133
366,Carson Wentz,MIN,QB,,,
367,Brandon McManus,GB,K,,,
368,Noah Fant,NO,TE,,,
369,Michael Carter,TEN,RB,,,
370,Joey Slye,TEN,K,,,
373,Taysom Hill,NO,TE,,,
374,Chad Ryland,ARI,K,,,
375,Blake Grupe,IND,K,,,
376,Cole Kmet,CHI,TE,,,
378,Nick Folk,ATL,K,3,128,128.6
383,Matt Gay,LV,K,,,
387,Calvin Austin III,NYG,WR,,,
2052,Bam Knight,ARI,RB,,,
2067,Josh Oliver,MIN,TE,,,
2069,Dolphins,MIA,DEF,,,
2070,Austin Hooper,ATL,TE,,,
2071,Brock Wright,DET,TE,,,
2072,Joe Mixon,HOU,RB,,,
2073,Panthers,CAR,DEF,,,
2074,Greg Dortch,DET,WR,,,
2075,Nick Chubb,HOU,RB,,,
2076,KaVontae Turpin,DAL,WR,,,
2077,Riley Patterson,MIA,K,,,
2078,Matt Prater,BUF,K,,,
2079,Joe Flacco,CIN,QB,,,
2080,Sterling Shepard,HOU,WR,,,
2081,Joshua Karty,ARI,K,,,
2082,Olamide Zaccheaus,ATL,WR,,,
2083,Kevin Austin Jr.,NO,WR,,,
2084,Cedric Tillman,CLE,WR,,,
2085,Miles Sanders,DAL,RB,,,
2086,Tanner Hudson,CIN,TE,,,
2087,J.J. McCarthy,MIN,QB,,,
2088,Ja'Tavion Sanders,CAR,TE,,,
2089,Devontez Walker,BAL,WR,,,
2090,Tez Johnson,TB,WR,,,
2091,Daniel Bellinger,TEN,TE,,,
2092,Hunter Renfrow,CAR,WR,,,
2093,Tommy Tremble,CAR,TE,,,
2094,Gabe Davis,BUF,WR,,,
2095,John Metchie III,CAR,WR,,,
2096,Cardinals,ARI,DEF,,,
2097,Hunter Long,ARI,TE,,,
2098,Jalen Tolbert,MIA,WR,,,
2099,Jackson Hawes,BUF,TE,,,
2100,Commanders,WAS,DEF,,,
2101,Mac Jones,SF,QB,,,
2102,Adam Trautman,DEN,TE,,,
