name,team,position,half_ppr_adp,full_ppr_adp,projected_fantasy_points,half_ppr_season,half_ppr_per_game,full_ppr_season,full_ppr_per_game,pass_attempts,pass_completions,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,fumbles_lost
Brian Robinson,ATL,RB,136.9,123.8,69.9,63.4,3.7,69.9,4.1,0,0,0,0,0,87.0,358.0,2.0,13.0,91.0,0,0
Jalen Coker,CAR,WR,137.8,136.3,163.4,133.9,7.9,163.4,9.6,0,0,0,0,0,1.0,6.0,0,59.0,738.0,5.0,0
Woody Marks,HOU,RB,138.6,141.2,83.8,74.3,4.4,83.8,4.9,0,0,0,0,0,86.0,351.0,2.0,19.0,137.0,1.0,1.0
Tyler Shough,NO,QB,139.1,144.4,260.0,246.0,14.5,246.0,14.5,518.0,340.0,3525.0,21.0,12.0,81.0,330.0,3.0,0,0,0,3.0
Malik Willis,MIA,QB,139.7,137.8,252.8,243.8,14.3,243.8,14.3,399.0,258.0,2712.0,16.0,9.0,110.0,633.0,5.0,0,0,0,2.0
Chris Rodriguez,JAX,RB,140.6,141.6,132.5,125.0,7.4,132.5,7.8,0,0,0,0,0,171.0,728.0,6.0,15.0,107.0,0,1.0
Baker Mayfield,TB,QB,142.2,140.9,274.9,259.9,15.3,259.9,15.3,526.0,343.0,3682.0,26.0,13.0,63.0,306.0,2.0,0,0,0,4.0
Juwan Johnson,NO,TE,143.1,135.3,136.6,109.6,6.4,136.6,8.0,0,0,0,0,0,0,0,0,54.0,586.0,4.0,0
Denzel Boston,CLE,WR,144.4,147.5,135.0,110.0,6.5,135.0,7.9,0,0,0,0,0,2.0,13.0,0,50.0,597.0,4.0,0
Travis Hunter,JAX,WR,145.2,160.2,100.6,79.1,4.7,96.6,5.7,0,0,0,0,0,4.0,21.0,0,35.0,415.0,3.0,0
Tyjae Spears,TEN,RB,145.6,151.9,114.6,97.1,5.7,114.6,6.7,0,0,0,0,0,92.0,388.0,2.0,35.0,248.0,1.0,1.0
Omar Cooper,NYJ,WR,146.0,149.3,127.1,104.6,6.2,127.1,7.5,0,0,0,0,0,3.0,14.0,0,45.0,567.0,4.0,0
Jauan Jennings,MIN,WR,148.1,146.3,121.1,99.6,5.9,121.1,7.1,0,0,0,0,0,0,0,0,43.0,541.0,4.0,0
Dalton Schultz,HOU,TE,149.2,137.0,133.5,106.0,6.2,133.5,7.9,0,0,0,0,0,0,0,0,55.0,545.0,4.0,0
Rashid Shaheed,SEA,WR,150.0,152.2,132.7,111.2,6.5,132.7,7.8,0,0,0,0,0,8.0,44.0,0,43.0,633.0,4.0,1.0
Dylan Sampson,CLE,RB,151.5,166.4,88.7,77.2,4.5,88.7,5.2,0,0,0,0,0,78.0,321.0,2.0,23.0,176.0,1.0,1.0
James Conner,ARI,RB,152.2,152.2,59.8,53.8,3.2,59.8,3.5,0,0,0,0,0,56.0,232.0,2.0,12.0,86.0,1.0,1.0
Chig Okonkwo,WAS,TE,152.5,146.2,144.1,113.6,6.7,144.1,8.5,0,0,0,0,0,0,0,0,61.0,591.0,4.0,0
Terrance Ferguson,LAR,TE,152.6,158.7,77.4,63.4,3.7,77.4,4.6,0,0,0,0,0,0,0,0,28.0,314.0,3.0,0
Kyler Murray,MIN,QB,153.2,142.2,265.2,254.2,15.0,254.2,15.0,465.0,311.0,3285.0,20.0,9.0,83.0,488.0,3.0,0,0,0,3.0
Emmett Johnson,KC,RB,153.3,149.7,65.2,59.2,3.5,65.2,3.8,0,0,0,0,0,67.0,286.0,2.0,12.0,86.0,1.0,1.0
Theo Johnson,NYG,TE,154.3,232.2,77.0,61.5,3.6,77.0,4.5,0,0,0,0,0,0,0,0,31.0,340.0,2.0,0
Tyreek Hill,FA,WR,156.6,174.0,93.7,77.2,4.5,93.7,5.5,0,0,0,0,0,1.0,5.0,0,33.0,422.0,3.0,0
Alvin Kamara,NO,RB,156.8,157.7,46.4,40.9,2.4,46.4,2.7,0,0,0,0,0,42.0,172.0,1.0,11.0,82.0,1.0,1.0
Cade Otton,TB,TE,157.2,162.7,128.0,100.0,5.9,128.0,7.5,0,0,0,0,0,0,0,0,56.0,540.0,3.0,0
Sam Darnold,SEA,QB,157.6,165.3,262.7,248.7,14.6,248.7,14.6,478.0,317.0,3676.0,26.0,12.0,44.0,157.0,2.0,0,0,0,3.0
Braelon Allen,NYJ,RB,158.3,174.1,53.8,48.8,2.9,53.8,3.2,0,0,0,0,0,60.0,245.0,2.0,10.0,73.0,0,0
Deebo Samuel,FA,WR,158.7,164.3,123.9,102.9,6.1,123.9,7.3,0,0,0,0,0,13.0,67.0,1.0,42.0,472.0,4.0,1.0
T.J. Hockenson,MIN,TE,159.0,141.2,131.5,103.0,6.1,131.5,7.7,0,0,0,0,0,0,0,0,57.0,565.0,3.0,0
